idSensor,date,time,value
photosensor_1,2/10/2024,05:07,169
photosensor_2,2/10/2024,05:17,198
photosensor_3,2/10/2024,06:43,969
photosensor_4,3/10/2024,19:07,588
photosensor_5,4/10/2024,09:35,307
photosensor_6,4/10/2024,09:39,78
photosensor_7,4/11/2024,14:28,189
photosensor_8,4/11/2024,14:30,194
photosensor_9,5/11/2024,14:39,227
photosensor_10,5/11/2024,16:27,589
photosensor_11,6/11/2024,09:43,642
photosensor_12,6/11/2024,09:59,421
photosensor_13,6/11/2024,11:07,153
ir_sensor_1,6/10/2024,03:43,385
ir_sensor_2,6/10/2024,07:02,204
ir_sensor_3,6/10/2024,07:03,181
ir_sensor_4,6/10/2024,07:04,65
ir_sensor_5,6/11/2024,03:34,64
ir_sensor_6,6/11/2024,12:50,71
ir_sensor_7,6/11/2024,13:02,113
ir_sensor_8,6/11/2024,13:33,392
ir_sensor_9,6/11/2024,14:59,387
ir_sensor_10,6/11/2024,16:04,390
ir_sensor_11,6/11/2024,18:34,47
ir_sensor_12,6/11/2024,18:44,66
ir_sensor_13,6/11/2024, 22:57,62
ir_sensor_14,6/11/2024, 22:59, 135
ir_sensor_15,6/11/2024, 23:00, 329
ir_sensor_16,6/11/2024, 23:00, 377
ir_sensor_17,6/11/2024, 23:01, 390
ir_sensor_18,6/11/2024, 23:02, 398
ir_sensor_19,6/11/2024, 23:08, 400
photo_sensor_7,07/11/2024,10:15,359
ir_sensor_5,07/11/2024,10:15,966
hum_sensor_4,07/11/2024,10:15,77
temp_sensor_4,07/11/2024,10:15,15
photo_sensor_7,07/11/2024,10:15,81
ir_sensor_5,07/11/2024,10:15,255
hum_sensor_4,07/11/2024,10:15,86
temp_sensor_4,07/11/2024,10:15,92
photo_sensor_7,07/11/2024,10:16,809
ir_sensor_5,07/11/2024,10:16,205
hum_sensor_4,07/11/2024,10:16,62
temp_sensor_4,07/11/2024,10:16,27
photo_sensor_7,07/11/2024,10:35,359
ir_sensor_5,07/11/2024,10:35,966
hum_sensor_4,07/11/2024,10:35,77
temp_sensor_4,07/11/2024,10:35,15
photo_sensor_7,07/11/2024,10:36,81
ir_sensor_5,07/11/2024,10:36,255
hum_sensor_4,07/11/2024,10:36,86
temp_sensor_4,07/11/2024,10:36,92
photo_sensor_7,07/11/2024,10:36,809
ir_sensor_5,07/11/2024,10:36,205
hum_sensor_4,07/11/2024,10:36,62
temp_sensor_4,07/11/2024,10:36,27
photo_sensor_7,07/11/2024,10:37,498
ir_sensor_5,07/11/2024,10:37,763
hum_sensor_4,07/11/2024,10:37,63
temp_sensor_4,07/11/2024,10:37,26
photo_sensor_7,07/11/2024,10:37,124
ir_sensor_5,07/11/2024,10:37,706
hum_sensor_4,07/11/2024,10:37,72
temp_sensor_4,07/11/2024,10:37,36
photo_sensor_7,07/11/2024,10:38,795
ir_sensor_5,07/11/2024,10:38,488
hum_sensor_4,07/11/2024,10:38,67
temp_sensor_4,07/11/2024,10:38,29
photo_sensor_7,07/11/2024,10:38,886
ir_sensor_5,07/11/2024,10:38,346
hum_sensor_4,07/11/2024,10:38,62
temp_sensor_4,07/11/2024,10:38,23
photo_sensor_7,07/11/2024,10:39,563
ir_sensor_5,07/11/2024,10:39,927
hum_sensor_4,07/11/2024,10:39,29
temp_sensor_4,07/11/2024,10:39,2
photo_sensor_7,07/11/2024,10:39,870
ir_sensor_5,07/11/2024,10:39,306
hum_sensor_4,07/11/2024,10:39,69
temp_sensor_4,07/11/2024,10:39,67
photo_sensor_7,07/11/2024,10:40,561
ir_sensor_5,07/11/2024,10:40,88
hum_sensor_4,07/11/2024,10:40,11
temp_sensor_4,07/11/2024,10:40,42
photo_sensor_7,07/11/2024,10:40,293
ir_sensor_5,07/11/2024,10:40,349
hum_sensor_4,07/11/2024,10:40,21
temp_sensor_4,07/11/2024,10:40,19
photo_sensor_7,07/11/2024,10:41,88
ir_sensor_5,07/11/2024,10:41,745
hum_sensor_4,07/11/2024,10:41,98
temp_sensor_4,07/11/2024,10:41,24
photo_sensor_7,07/11/2024,10:41,427
ir_sensor_5,07/11/2024,10:41,178
hum_sensor_4,07/11/2024,10:41,13
temp_sensor_4,07/11/2024,10:41,26
photo_sensor_7,07/11/2024,10:42,667
ir_sensor_5,07/11/2024,10:42,692
hum_sensor_4,07/11/2024,10:42,56
temp_sensor_4,07/11/2024,10:42,73
photo_sensor_7,07/11/2024,10:42,14
ir_sensor_5,07/11/2024,10:42,386
hum_sensor_4,07/11/2024,10:42,96
temp_sensor_4,07/11/2024,10:42,81
photo_sensor_7,07/11/2024,10:43,289
ir_sensor_5,07/11/2024,10:43,317
